Country,Value,Date,Day
Guinea,24,41729,7
Guinea,35,41730,8
Guinea,54,41733,11
Guinea,71,41740,18
Guinea,101,41745,23
Guinea,109,41746,24
Guinea,112,41749,27
Guinea,115,41752,30
Guinea,121,41755,33
Guinea,127,41760,38
Guinea,127,41762,40
Guinea,127,41764,42
Guinea,129,41766,44
Guinea,129,41769,47
Guinea,138,41771,49
Guinea,146,41782,60
Guinea,172,41787,65
Guinea,208,41791,69
Guinea,207,41793,71
Guinea,210,41795,73
Guinea,254,41806,84
Guinea,258,41808,86
Guinea,260,41810,88
Guinea,286,41817,95
Guinea,293,41820,98
Guinea,292,41822,100
Guinea,294,41826,104
Guinea,296,41828,106
Guinea,297,41832,110
Guinea,301,41834,112
Guinea,301,41837,115
Guinea,304,41840,118
Guinea,311,41843,121
Guinea,336,41847,125
Guinea,340,41852,130
Guinea,351,41855,133
Guinea,355,41857,135
Guinea,362,41860,138
Guinea,443,41871,149
Guinea,467,41874,152
Guinea,480,41876,154
Guinea,490,41877,155
Guinea,499,41878,156
Guinea,524,41879,157
Guinea,533,41880,158
Guinea,563,41881,159
Guinea,577,41882,160
Guinea,591,41883,161
Guinea,604,41884,162
Guinea,621,41885,163
Guinea,627,41886,164
Guinea,653,41887,165
Guinea,664,41888,166
Guinea,678,41889,167
Guinea,703,41891,169
Guinea,716,41892,170
Guinea,726,41893,171
Guinea,729,41894,172
Guinea,743,41895,173
Guinea,750,41896,174
Guinea,771,41898,176
Guinea,777,41899,177
Guinea,799,41901,179
Guinea,818,41902,180
Guinea,832,41903,181
Guinea,854,41904,182
Guinea,876,41905,183
Guinea,902,41907,185
Guinea,950,41910,188
Guinea,961,41911,189
Guinea,970,41912,190
Guinea,977,41913,191
Guinea,1097,41919,197
Guinea,1122,41920,198
Guinea,1142,41921,199
Guinea,1151,41922,200
Guinea,1164,41923,201
Guinea,1183,41924,202
Guinea,1193,41925,203
Guinea,1217,41926,204
Guinea,1231,41927,205
Guinea,1250,41928,206
Guinea,1265,41929,207
Guinea,1287,41930,208
Guinea,1289,41931,209
Guinea,1304,41932,210
Guinea,1312,41933,211
Guinea,1325,41934,212
Guinea,1335,41935,213
Guinea,1349,41936,214
Guinea,1366,41937,215
Guinea,1368,41938,216
Guinea,1384,41939,217
Guinea,1395,41940,218
Guinea,1409,41941,219
Guinea,1415,41942,220
Guinea,1424,41943,221
Guinea,1435,41944,222
Guinea,1457,41945,223
Guinea,1479,41946,224
Guinea,1494,41947,225
Guinea,1516,41948,226
Guinea,1551,41949,227
Guinea,1561,41950,228
Guinea,1570,41951,229
Guinea,1612,41952,230
Guinea,1629,41953,231
Guinea,1647,41954,232
Guinea,1659,41955,233
Guinea,1671,41956,234
Guinea,1677,41957,235
Guinea,1688,41958,236
Guinea,1729,41960,238
Guinea,1745,41961,239
Guinea,1769,41962,240
Guinea,1791,41963,241
Guinea,1817,41964,242
Guinea,1830,41965,243
Guinea,1850,41966,244
Guinea,1871,41967,245
Guinea,1892,41968,246
