Country,Value,Date,Day
Guinea,24,41729,0
Guinea,35,41730,1
Guinea,54,41733,4
Guinea,71,41740,11
Guinea,101,41745,16
Guinea,109,41746,17
Guinea,112,41749,20
Guinea,115,41752,23
Guinea,121,41755,26
Guinea,127,41760,31
Guinea,127,41762,33
Guinea,127,41764,35
Guinea,129,41766,37
Guinea,129,41769,40
Guinea,138,41771,42
Guinea,146,41782,53
Guinea,172,41787,58
Guinea,208,41791,62
Guinea,207,41793,64
Guinea,210,41795,66
Guinea,254,41806,77
Guinea,258,41808,79
Guinea,260,41810,81
Guinea,286,41817,88
Guinea,293,41820,91
Guinea,292,41822,93
Guinea,294,41826,97
Guinea,296,41828,99
Guinea,297,41832,103
Guinea,301,41834,105
Guinea,301,41837,108
Guinea,304,41840,111
Guinea,311,41843,114
Guinea,336,41847,118
Guinea,340,41852,123
Guinea,351,41855,126
Guinea,355,41857,128
Guinea,362,41860,131
Guinea,443,41871,142
Guinea,467,41874,145
Guinea,480,41876,147
Guinea,490,41877,148
Guinea,499,41878,149
Guinea,524,41879,150
Guinea,533,41880,151
Guinea,563,41881,152
Guinea,577,41882,153
Guinea,591,41883,154
Guinea,604,41884,155
Guinea,621,41885,156
Guinea,627,41886,157
Guinea,653,41887,158
Guinea,664,41888,159
Guinea,678,41889,160
Guinea,703,41891,162
Guinea,716,41892,163
Guinea,726,41893,164
Guinea,729,41894,165
Guinea,743,41895,166
Guinea,750,41896,167
Guinea,771,41898,169
Guinea,777,41899,170
Guinea,799,41901,172
Guinea,818,41902,173
Guinea,832,41903,174
Guinea,854,41904,175
Guinea,876,41905,176
Guinea,902,41907,178
