Country,Value,Date,Day
Liberia,5,41737,0
Liberia,5,41738,1
Liberia,5,41739,2
Liberia,5,41742,5
Liberia,6,41745,8
Liberia,6,41747,10
Liberia,6,41750,13
Liberia,6,41752,15
Liberia,6,41753,16
Liberia,6,41761,24
Liberia,6,41768,31
Liberia,6,41792,55
Liberia,7,41797,60
Liberia,11,41801,64
Liberia,16,41803,66
Liberia,18,41806,69
Liberia,24,41809,72
Liberia,34,41812,75
Liberia,38,41816,79
Liberia,52,41820,83
Liberia,54,41822,85
Liberia,63,41826,89
Liberia,70,41828,91
Liberia,70,41832,95
Liberia,70,41834,97
Liberia,76,41837,100
Liberia,77,41840,103
Liberia,84,41843,106
Liberia,100,41847,110
Liberia,129,41852,115
Liberia,143,41855,118
Liberia,148,41857,120
Liberia,158,41860,123
Liberia,263,41871,134
Liberia,322,41875,138
Liberia,322,41876,139
Liberia,342,41877,140
Liberia,392,41880,143
Liberia,392,41881,144
Liberia,392,41882,145
Liberia,406,41883,146
Liberia,590,41884,147
Liberia,608,41885,148
Liberia,620,41886,149
Liberia,622,41887,150
Liberia,628,41888,151
Liberia,648,41889,152
Liberia,700,41890,153
Liberia,790,41892,155
Liberia,790,41893,156
Liberia,806,41896,159
Liberia,823,41897,160
Liberia,847,41898,161
Liberia,861,41899,162
Liberia,883,41901,164
Liberia,866,41902,165
Liberia,884,41903,166
Liberia,892,41904,167
Liberia,908,41905,168
Liberia,915,41907,170
Liberia,917,41908,171
