Country,Value,Date,Day
Sierra Leone,7,41786,64
Sierra Leone,14,41788,66
Sierra Leone,18,41791,69
Sierra Leone,31,41795,73
Sierra Leone,33,41796,74
Sierra Leone,92,41807,85
Sierra Leone,103,41809,87
Sierra Leone,147,41810,88
Sierra Leone,199,41820,98
Sierra Leone,211,41822,100
Sierra Leone,269,41826,104
Sierra Leone,298,41828,106
Sierra Leone,339,41832,110
Sierra Leone,346,41834,112
Sierra Leone,368,41837,115
Sierra Leone,405,41840,118
Sierra Leone,419,41843,121
Sierra Leone,473,41847,125
Sierra Leone,540,41852,130
Sierra Leone,576,41855,133
Sierra Leone,631,41857,135
Sierra Leone,656,41860,138
Sierra Leone,813,41871,149
Sierra Leone,904,41874,152
Sierra Leone,935,41875,153
Sierra Leone,955,41876,154
Sierra Leone,961,41877,155
Sierra Leone,1018,41879,157
Sierra Leone,432,41882,160
Sierra Leone,1146,41884,162
Sierra Leone,1174,41885,163
Sierra Leone,1234,41887,165
Sierra Leone,1276,41888,166
Sierra Leone,36,41891,169
Sierra Leone,1367,41892,170
Sierra Leone,1401,41893,171
Sierra Leone,1432,41894,172
Sierra Leone,1513,41896,174
Sierra Leone,1571,41898,176
Sierra Leone,1571,41898,176
Sierra Leone,1585,41899,177
Sierra Leone,1618,41900,178
Sierra Leone,1640,41901,179
Sierra Leone,1696,41902,180
Sierra Leone,1745,41903,181
Sierra Leone,1775,41904,182
Sierra Leone,1816,41905,183
Sierra Leone,1885,41906,184
Sierra Leone,1920,41907,185
Sierra Leone,1944,41908,186
Sierra Leone,2000,41909,187
Sierra Leone,2090,41910,188
Sierra Leone,2155,41911,189
Sierra Leone,2179,41912,190
Sierra Leone,2212,41913,191
Sierra Leone,2276,41915,193
Sierra Leone,2411,41916,194
Sierra Leone,2593,41920,198
Sierra Leone,2698,41922,200
Sierra Leone,2792,41923,201
Sierra Leone,2849,41924,202
Sierra Leone,2894,41925,203
Sierra Leone,2977,41926,204
Sierra Leone,3003,41927,205
Sierra Leone,3058,41928,206
Sierra Leone,3097,41929,207
Sierra Leone,3154,41930,208
Sierra Leone,3223,41931,209
Sierra Leone,3295,41932,210
Sierra Leone,3345,41933,211
Sierra Leone,3389,41934,212
Sierra Leone,3449,41935,213
Sierra Leone,3490,41936,214
Sierra Leone,3560,41937,215
Sierra Leone,3622,41938,216
Sierra Leone,3713,41939,217
Sierra Leone,3760,41940,218
Sierra Leone,3841,41942,220
Sierra Leone,3936,41943,221
Sierra Leone,3996,41944,222
Sierra Leone,4057,41945,223
Sierra Leone,4232,41949,227
Sierra Leone,4277,41950,228
Sierra Leone,4433,41951,229
Sierra Leone,4617,41953,231
Sierra Leone,4744,41955,233
Sierra Leone,4828,41956,234
Sierra Leone,4913,41957,235
Sierra Leone,4967,41958,236
Sierra Leone,5056,41959,237
Sierra Leone,5109,41960,238
Sierra Leone,5152,41961,239
Sierra Leone,5210,41962,240
Sierra Leone,5304,41963,241
Sierra Leone,5355,41964,242
Sierra Leone,5402,41965,243
Sierra Leone,5441,41966,244
Sierra Leone,5524,41967,245
Sierra Leone,5595,41968,246
Sierra Leone,5683,41969,247
