Country,Value,Date,Day
Sierra Leone,7,41786,0
Sierra Leone,14,41788,2
Sierra Leone,18,41791,5
Sierra Leone,31,41795,9
Sierra Leone,33,41796,10
Sierra Leone,92,41807,21
Sierra Leone,103,41809,23
Sierra Leone,147,41810,24
Sierra Leone,199,41820,34
Sierra Leone,211,41822,36
Sierra Leone,269,41826,40
Sierra Leone,298,41828,42
Sierra Leone,339,41832,46
Sierra Leone,346,41834,48
Sierra Leone,368,41837,51
Sierra Leone,405,41840,54
Sierra Leone,419,41843,57
Sierra Leone,473,41847,61
Sierra Leone,540,41852,66
Sierra Leone,576,41855,69
Sierra Leone,631,41857,71
Sierra Leone,656,41860,74
Sierra Leone,813,41871,85
Sierra Leone,904,41874,88
Sierra Leone,935,41875,89
Sierra Leone,955,41876,90
Sierra Leone,961,41877,91
Sierra Leone,1018,41879,93
Sierra Leone,1146,41884,98
Sierra Leone,1174,41885,99
Sierra Leone,1234,41887,101
Sierra Leone,1276,41888,102
Sierra Leone,1367,41892,106
Sierra Leone,1401,41893,107
Sierra Leone,1432,41894,108
Sierra Leone,1513,41896,110
Sierra Leone,1571,41898,112
Sierra Leone,1585,41899,113
Sierra Leone,1618,41900,114
Sierra Leone,1640,41901,115
Sierra Leone,1696,41902,116
Sierra Leone,1745,41903,117
Sierra Leone,1775,41904,118
Sierra Leone,1816,41905,119
Sierra Leone,1885,41906,120
Sierra Leone,1920,41907,121
Sierra Leone,1944,41908,122
